Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2021,Square,Business Analyst,240000,"San Francisco, CA",10,Male,0,1,0,0,0,Bachelor's Degree
2021,SAP,Data Scientist,146000,"Newport Beach, CA",1,Female,1,0,0,0,0,Master's Degree
2021,Klarna,Business Analyst,83000,"Berlin, BE, Germany",3,Male,1,0,0,0,0,Master's Degree
2021,IBM,Data Scientist,93000,"Canberra, CT, Australia",3,Male,0,1,0,0,0,Bachelor's Degree
2021,Cognizant,Business Analyst,85000,"Sydney, NS, Australia",4,Male,1,0,0,0,0,Master's Degree
2021,Amazon,Data Scientist,235000,"Seattle, WA",3,Female,1,0,0,0,0,Master's Degree
2021,Capgemini,Business Analyst,117000,"Austin, TX",5,Male,1,0,0,0,0,Master's Degree
2021,Capital One,Data Scientist,125000,"Plano, TX",1,Male,1,0,0,0,0,Master's Degree
2021,Shopify,Data Scientist,85000,"Montreal, QC, Canada",0,Female,0,1,0,0,0,Bachelor's Degree
2021,Facebook,Data Scientist,320000,"Seattle, WA",5,Male,0,0,1,0,0,PhD
2021,Amazon,Data Scientist,114000,"Luxembourg, LU, Luxembourg",4,Female,1,0,0,0,0,Master's Degree
