Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2020,Expedia,Business Analyst,118000,"Seattle, WA",4,Female,0,1,0,0,0,Bachelor's Degree
2020,Wayfair,Data Scientist,140000,"Boston, MA",1,Male,0,0,1,0,0,PhD
2020,JPMorgan Chase,Business Analyst,55000,"Dallas, TX",1,Male,1,0,0,0,0,Master's Degree
2020,Amazon,Data Scientist,165000,"Seattle, WA",1,Male,0,0,1,0,0,PhD
2020,EY,Business Analyst,58000,"London, EN, United Kingdom",4,Male,0,1,0,0,0,Bachelor's Degree
2021,Ernst and Young,Data Scientist,290000,"New York, NY",12,Male,1,0,0,0,0,Master's Degree
2021,Fidelity Investments,Data Scientist,200000,"Boston, MA",8,Male,0,0,0,0,0,NA
2021,Intel,Data Scientist,152000,"Portland, OR",3,Male,0,0,1,0,0,PhD
2021,FedEx,Data Scientist,99000,"Memphis, TN",10,Male,1,0,0,0,0,Master's Degree
2020,AppLovin,Business Analyst,150000,"Palo Alto, CA",4,Female,0,1,0,0,0,Bachelor's Degree
2020,Google,Data Scientist,289000,"Austin, TX",15,Male,0,0,1,0,0,PhD
2021,2U,Business Analyst,109000,"Brooklyn, NY",5,Male,0,1,0,0,0,Bachelor's Degree
2021,USAA,Business Analyst,96000,"San Antonio, TX",5,Male,1,0,0,0,0,Master's Degree
2021,Capital One,Data Scientist,139000,"New York, NY",4,Male,1,0,0,0,0,Master's Degree
2021,Canva,Data Scientist,122000,"Sydney, NS, Australia",4,Other,0,1,0,0,0,Bachelor's Degree
2021,Aetna,Data Scientist,130000,"Chicago, IL",7,Female,1,0,0,0,0,Master's Degree
2021,Red Hat,Data Scientist,171000,"Raleigh, NC",5,Male,1,0,0,0,0,Master's Degree
2020,IBM,Data Scientist,130000,"New York, NY",3,Male,1,0,0,0,0,Master's Degree
2020,Tata Consultancy Services,Business Analyst,101000,"Santa Clara, CA",10,Male,0,1,0,0,0,Bachelor's Degree
2021,Walmart,Data Scientist,213000,"Bentonville, AR",8,Female,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,65000,"Nashville, TN",1,Male,1,0,0,0,0,Master's Degree
2020,Nielsen,Data Scientist,78000,"Tampa, FL",1,Female,0,1,0,0,0,Bachelor's Degree
2021,Cisco,Data Scientist,200000,"Milpitas, CA",4,Male,1,0,0,0,0,Master's Degree
2020,Scribd,Business Analyst,131000,"San Francisco, CA",3,Female,0,1,0,0,0,Bachelor's Degree
2020,Dropbox,Data Scientist,147000,"San Francisco, CA",3,Female,1,0,0,0,0,Master's Degree
2020,Capital One,Business Analyst,115000,"Washington, DC",4,Male,1,0,0,0,0,Master's Degree
2021,Apple,Data Scientist,223000,"Austin, TX",8,Male,0,1,0,0,0,Bachelor's Degree
2021,Klarna,Data Scientist,82000,"Stockholm, ST, Sweden",5,Female,1,0,0,0,0,Master's Degree
2021,Microsoft,Data Scientist,206000,"Redmond, WA",0,Male,0,0,1,0,0,PhD
2021,Intel,Business Analyst,482000,"Santa Clara, CA",21,Male,0,1,0,0,0,Bachelor's Degree
2021,FedEx,Data Scientist,145000,"Memphis, TN",15,Male,1,0,0,0,0,Master's Degree
2021,Apple,Business Analyst,320000,"Cupertino, CA",12,Female,0,1,0,0,0,Bachelor's Degree
2021,Zalando,Data Scientist,190000,"Berlin, BE, Germany",10,Male,0,0,1,0,0,PhD
2021,IQVIA,Data Scientist,12000,"Pune, MH, India",1,Male,0,1,0,0,0,Bachelor's Degree
